framework,model,profile,concurrency,duration_s,completed,failed,total_input_tokens,total_output_tokens,output_tok_s,total_tok_s,out_tok_s_per_gpu,total_tok_s_per_gpu,mean_tpot_ms,mean_ttft_ms,p99_ttft_ms,mean_e2e_ms,mean_itl_ms,interactivity,cost_per_mtok_out,cost_per_mtok_total
sglang,minimax-m2.7,1k1k,4,110.20262473200273,40,0,40960,40960,371.6789876793675,743.357975358735,46.459873459920935,92.91974691984187,10.731151136559864,39.961760274673,52.883515225257725,11017.929372975414,11.319657481942212,93.18664766476998,24.513387662826126,12.256693831413063
sglang,minimax-m2.7,1k1k,8,117.84386917900702,80,0,81920,81920,695.1570800476859,1390.3141600953718,86.89463500596074,173.78927001192147,11.432924226197184,85.39812617509597,145.65647853902192,11781.279609574813,12.131227183658554,87.46668658125269,13.106550120278014,6.553275060139007
sglang,minimax-m2.7,1k1k,16,131.92055091400107,160,0,163840,163840,1241.9596405931263,2483.9192811862526,155.2449550741408,310.4899101482816,12.745151327554192,149.759592655937,390.03868957966915,13188.049400743876,13.520122043170746,78.46121040854688,7.336076643166835,3.6680383215834174
sglang,minimax-m2.7,1k1k,32,158.57206542899075,320,0,327680,327680,2066.4421511665087,4132.884302333017,258.3052688958136,516.6105377916272,15.284909849486958,214.23991227538863,432.8532649867702,15850.702688300544,16.39497110058121,65.424003795061,4.409081137823228,2.204540568911614
sglang,minimax-m2.7,1k1k,64,209.11717745100032,640,0,655360,655360,3133.9367142785864,6267.873428557173,391.7420892848233,783.4841785696466,19.908157599668556,532.7767868577666,1287.6547984479112,20898.8220113187,21.309446450059735,50.23066524330954,2.9072415756195107,1.4536207878097553
sglang,minimax-m2.7,1k1k,128,235.44941633999406,1280,0,1310720,1310720,5566.885747158923,11133.771494317845,695.8607183948653,1391.7214367897307,22.05311119319955,959.2378325505479,2441.325243920437,23519.570583193683,23.630302179095473,45.345075859789205,1.636662134796101,0.8183310673980505
sglang,minimax-m2.7,1k1k,256,305.4486841040052,2560,0,2621440,2621440,8582.259922610765,17164.51984522153,1072.7824903263456,2145.5649806526912,28.007297171115898,1813.857485026557,4746.10760910291,30465.322491078117,29.957678280810565,35.70498052312261,1.0616214369256096,0.5308107184628048
sglang,minimax-m2.7,1k1k,512,509.8170244770008,5120,0,5242880,5242880,10283.846455261952,20567.692910523903,1285.480806907744,2570.961613815488,46.20222131060606,3483.9066182817733,9462.68752288961,50748.779019031776,49.42694357154148,21.643980995572665,0.8859633553211225,0.44298167766056123
vllm,minimax-m2.7,1k1k,1,559.008277891,40,0,40960,40960,73.2726179915116,146.5452359830232,9.15907724893895,18.3181544978779,13.54236932074695,121.20443635176343,128.53376333296183,,13.529137533471314,73.84232229348501,124.34537431386177,62.172687156930884
vllm,minimax-m2.7,1k1k,2,320.5981611190073,40,0,40960,40960,127.7611819638463,255.5223639276926,15.970147745480787,31.940295490961574,15.641004477956251,28.677810400768067,35.69211963884299,,15.625720079687968,63.93451273601745,71.31361005793889,35.656805028969444
vllm,minimax-m2.7,1k1k,4,128.69390930399823,40,0,40960,40960,318.2745805261467,636.5491610522934,39.784322565768335,79.56864513153667,12.547950266617836,31.903250375398784,44.83998987838277,,12.535690580761027,79.69429099989087,28.62657487773398,14.31328743886699
vllm,minimax-m2.7,1k1k,8,136.6175059829984,80,0,81920,81920,599.6303285626856,1199.2606571253712,74.9537910703357,149.9075821406714,13.228661849035044,126.60849923722708,279.23118168473593,,13.215737177441511,75.59343578450789,15.194546835131657,7.5972734175658285
vllm,minimax-m2.7,1k1k,16,152.14793991400802,160,0,163840,163840,1076.8466539382669,2153.6933078765337,134.60583174228336,269.2116634845667,14.71336833816018,160.01328836255198,409.14936782748555,,14.698993480474698,67.96540241614342,8.460917882587793,4.230458941293897
vllm,minimax-m2.7,1k1k,32,184.04293403300107,320,0,327680,327680,1780.4541191526707,3560.9082383053415,222.55676489408384,445.1135297881677,17.804118873668358,183.0913044999761,558.6074780514175,,17.78672468883342,56.16677843456569,5.1172962072435455,2.5586481036217728
vllm,minimax-m2.7,1k1k,64,234.15210789299454,640,0,655360,655360,2798.8644044131083,5597.728808826217,349.85805055163854,699.7161011032771,22.64801609093476,234.102746516146,813.0140297404432,,22.62592617013075,44.15397781354749,3.2552885008452606,1.6276442504226303
vllm,minimax-m2.7,1k1k,128,273.9599950700067,1280,0,1310720,1310720,4784.3481661074775,9568.696332214955,598.0435207634347,1196.0870415268694,26.444649981101897,311.6579218383663,1543.2016675826167,,26.41956391622395,37.81483213862269,1.9043578758867514,0.9521789379433757
vllm,minimax-m2.7,1k1k,256,353.13994045500294,2560,0,2621440,2621440,7423.232831218149,14846.465662436298,927.9041039022686,1855.8082078045372,34.02379416971831,458.37679257661534,1989.4699773936004,,33.99223309444316,29.39119590871541,1.2273777905489704,0.6136888952744852
vllm,minimax-m2.7,1k1k,512,522.0926263170113,5120,0,5242880,5242880,10042.04950563036,20084.09901126072,1255.256188203795,2510.51237640759,50.15157174167795,791.3621119187155,4995.073360497772,,50.106669442662316,19.939554539802394,0.9072959763843731,0.45364798819218655
